sic,nice_class,heading,frequency,band_label,n_marks,share,sic_total_marks
11070,29,"Meat, fish, poultry and game; meat extracts; preserved, frozen, dried and cooked fruits and vegetables; jellies, jams, compotes; eggs; milk, cheese, butter, yogurt and other milk products; oils and fats for food.",Sometimes,A few have this,68,0.081,843
11070,43,Services for providing food and drink; temporary accommodation.,Sometimes,A few have this,58,0.069,843
14120,25,"Clothing, footwear, headwear.",Always,Most use this,35,0.593,59
14120,9,"Scientific, research, navigation, surveying, photographic, cinematographic, audiovisual, optical, weighing, measuring, signalling, detecting, testing, inspecting, life-saving and teaching apparatus and instruments; apparatus and instruments for conducting, switching, transforming, accumulating, regulating or controlling the distribution or use of electricity; apparatus and instruments for recording, transmitting, reproducing or processing sound, images or data; recorded and downloadable media, computer software, blank digital or analogue recording and storage media; mechanisms for coin-operated apparatus; cash registers, calculating devices; computers and computer peripheral devices; diving suits, divers' masks, ear plugs for divers, nose clips for divers and swimmers, gloves for divers, breathing apparatus for underwater swimming; fire-extinguishing apparatus.",Sometimes,Some use this,27,0.458,59
14120,35,"Advertising; business management, business administration and consultancy, office functions.",Sometimes,Some use this,15,0.254,59
14120,10,"Surgical, medical, dental and veterinary apparatus and instruments; artificial limbs, eyes and teeth; orthopaedic articles; suture materials; therapeutic and assistive devices adapted for persons with disabilities; massage apparatus; apparatus, devices and articles for nursing infants; sexual activity apparatus, devices and articles.",Sometimes,Some use this,10,0.169,59
14120,42,"Scientific and technological services and research and design relating thereto; industrial analysis, industrial research and industrial design services; quality control and authentication services; design and development of computer hardware and software.",Sometimes,A few have this,8,0.136,59
14120,7,"Machines, machine tools, power-operated tools; motors and engines, except for land vehicles; machine coupling and transmission components, except for land vehicles; agricultural implements, other than hand-operated hand tools; incubators for eggs; automatic vending machines.",Sometimes,A few have this,5,0.085,59
14120,17,"Unprocessed and semi-processed rubber, gutta-percha, gum, asbestos, mica and substitutes for all these materials; plastics and resins in extruded form for use in manufacture; packing, stopping and insulating materials; flexible pipes, tubes and hoses, not of metal.",Sometimes,A few have this,5,0.085,59
14120,6,"Common metals and their alloys, ores; metal materials for building and construction; transportable buildings of metal; non-electric cables and wires of common metal; small items of metal hardware; metal containers for storage or transport; safes.",Sometimes,A few have this,5,0.085,59
14120,21,"Household or kitchen utensils and containers; cookware and tableware, except forks, knives and spoons; combs and sponges; brushes, except paintbrushes; brush-making materials; articles for cleaning purposes; unworked or semi-worked glass, except building glass; glassware, porcelain and earthenware.",Sometimes,A few have this,5,0.085,59
14120,3,"Non-medicated cosmetics and toiletry preparations; non-medicated dentifrices; perfumery, essential oils; bleaching preparations and other substances for laundry use; cleaning, polishing, scouring and abrasive preparations.",Sometimes,A few have this,5,0.085,59
14120,16,"Paper and cardboard; printed matter; bookbinding material; photographs; stationery and office requisites, except furniture; adhesives for stationery or household purposes; drawing materials and materials for artists; paintbrushes; instructional and teaching materials; plastic sheets, films and bags for wrapping and packaging; printers' type, printing blocks.",Sometimes,A few have this,4,0.068,59
14120,37,"Construction services; installation and repair services; mining extraction, oil and gas drilling.",Sometimes,A few have this,4,0.068,59
14120,39,Transport; packaging and storage of goods; travel arrangement.,Sometimes,A few have this,4,0.068,59
14120,11,"Apparatus and installations for lighting, heating, cooling, steam generating, cooking, drying, ventilating, water supply and sanitary purposes.",Sometimes,A few have this,3,0.051,59
14120,26,"Lace, braid and embroidery, and haberdashery ribbons and bows; buttons, hooks and eyes, pins and needles; artificial flowers; hair decorations; false hair.",Sometimes,A few have this,3,0.051,59
14120,8,"Hand tools and hand-operated implements; cutlery; side arms, except firearms; razors.",Sometimes,A few have this,3,0.051,59
14120,18,"Leather and imitations of leather; animal skins and hides; luggage and carrying bags; umbrellas and parasols; walking sticks; whips, harness and saddlery; collars, leashes and clothing for animals.",Sometimes,A few have this,3,0.051,59
13300,24,Textiles and substitutes for textiles; household linen; curtains of textile or plastic.,Sometimes,Some use this,32,0.492,65
13300,25,"Clothing, footwear, headwear.",Sometimes,Some use this,20,0.308,65
13300,35,"Advertising; business management, business administration and consultancy, office functions.",Sometimes,Some use this,15,0.231,65
13300,40,Treatment of materials; recycling of waste and trash; air purification and treatment of water; printing services; food and drink preservation.,Sometimes,Some use this,14,0.215,65
13300,18,"Leather and imitations of leather; animal skins and hides; luggage and carrying bags; umbrellas and parasols; walking sticks; whips, harness and saddlery; collars, leashes and clothing for animals.",Sometimes,A few have this,6,0.092,65
13300,22,"Ropes and string; nets; tents and tarpaulins; awnings of textile or synthetic materials; sails; sacks for the transport and storage of materials in bulk; padding, cushioning and stuffing materials, except of paper, cardboard, rubber or plastics; raw fibrous textile materials and substitutes therefor.",Sometimes,A few have this,6,0.092,65
